,param_tol,param_shrinking,param_kernel,param_gamma,param_degree,param_coef0,params,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score,avgTestScore
151,1e-08,True,sigmoid,0.2,4,0.0,"{'tol': 1e-08, 'shrinking': True, 'kernel': 'sigmoid', 'gamma': 0.2, 'degree': 4, 'coef0': 0.0}",0.15384615384615385,0.011870153984500762,126,0.15759359508848525,0.0036248506092250773,
152,0.0001,True,rbf,scale,5,0.1,"{'tol': 0.0001, 'shrinking': True, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 5, 'coef0': 0.1}",0.2225859247135843,0.022853726469659896,1,0.28108591632024216,0.0026158237422675514,
153,0.0001,False,sigmoid,0.1,4,0.9500000000000001,"{'tol': 0.0001, 'shrinking': False, 'kernel': 'sigmoid', 'gamma': 0.1, 'degree': 4, 'coef0': 0.9500000000000001}",0.15384615384615385,0.007158736898565377,126,0.1526797926789438,0.003086682641640312,
154,0.1,True,sigmoid,0.05,2,0.5,"{'tol': 0.1, 'shrinking': True, 'kernel': 'sigmoid', 'gamma': 0.05, 'degree': 2, 'coef0': 0.5}",0.15384615384615385,0.011870153984500762,126,0.15759359508848525,0.0036248506092250773,
155,1e-05,True,rbf,0.15,4,0.9,"{'tol': 1e-05, 'shrinking': True, 'kernel': 'rbf', 'gamma': 0.15, 'degree': 4, 'coef0': 0.9}",0.1718494271685761,0.019449851180775406,58,0.8363178415859565,0.004701335023629913,
156,1e-09,True,rbf,auto,4,0.35000000000000003,"{'tol': 1e-09, 'shrinking': True, 'kernel': 'rbf', 'gamma': 'auto', 'degree': 4, 'coef0': 0.35000000000000003}",0.20130932896890344,0.02235384520228715,11,0.5102411924025599,0.003944324451642268,
157,0.001,False,sigmoid,scale,4,0.8500000000000001,"{'tol': 0.001, 'shrinking': False, 'kernel': 'sigmoid', 'gamma': 'scale', 'degree': 4, 'coef0': 0.8500000000000001}",0.15057283142389524,0.006960571700284208,183,0.14939778006345095,0.0027487123531389746,
158,1e-08,False,sigmoid,0.2,0,0.4,"{'tol': 1e-08, 'shrinking': False, 'kernel': 'sigmoid', 'gamma': 0.2, 'degree': 0, 'coef0': 0.4}",0.15384615384615385,0.011870153984500762,126,0.15759359508848525,0.0036248506092250773,
159,1e-07,False,sigmoid,0.15,2,0.5,"{'tol': 1e-07, 'shrinking': False, 'kernel': 'sigmoid', 'gamma': 0.15, 'degree': 2, 'coef0': 0.5}",0.15384615384615385,0.011870153984500762,126,0.15759359508848525,0.0036248506092250773,
160,1e-05,True,rbf,auto,1,0.65,"{'tol': 1e-05, 'shrinking': True, 'kernel': 'rbf', 'gamma': 'auto', 'degree': 1, 'coef0': 0.65}",0.20130932896890344,0.02235384520228715,11,0.5102411924025599,0.003944324451642268,
161,0.1,True,sigmoid,scale,0,0.30000000000000004,"{'tol': 0.1, 'shrinking': True, 'kernel': 'sigmoid', 'gamma': 'scale', 'degree': 0, 'coef0': 0.30000000000000004}",0.14893617021276595,0.008319517051867295,190,0.14934500619562022,0.002612333235641484,
162,1e-09,True,rbf,0.2,5,0.45,"{'tol': 1e-09, 'shrinking': True, 'kernel': 'rbf', 'gamma': 0.2, 'degree': 5, 'coef0': 0.45}",0.16530278232405893,0.013761563434356517,90,0.8538702979844863,0.004646912686907823,
